SURID	NEWS	BEAUTY	MUSIC	FITNESS	RELIGION	SCIENCE	LITERARY	SPORTS	EARLY	MORNING	DAYTIME	PRIME	EVENING	LATE	COMEDY	SOAPS	GENERAL	LEGAL	MEDICAL	MOVIES	VARIETY	NEWSSHOW	KIDS	INFO	ACTION	GAME	MVIDEO	MYSTERY	SPORT	TALK	WEIGHT	THIGHS	BUTTOCKS	HIPS	STOMACH	LEGS	WAIST	TONE	EARS	LIPS	WRISTS	HANDS	FOREHEAD	NECK	CHIN	FEET	BUST	MACS1	MACS2	MACS3	MACS4	MACS5	MACS6	MACS7	MACS8	MACS9	MACS10	MACS11	MACS12	MACS13	MACS14	MACS15	MACS16	MACS17	MACS18	MACS19	MACS20	MACS21	MACS22	MACS23	MACS24	MACS25	MACS26	MACS27	MACS28	MACS29	MACS30	MACS31	MACS32	MACS33	DIET1	DIET2	DIET3	DIET4	DIET5	DIET6	DIET7	DIET8	DIET9	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	ASSESS	AGE	CLASS	ANXIETY	GOODDIET	TOTMAC	APPROVE	CONTROL	RIGID	TOTTV
296	1	6	5	5	0	0	0	3	0	0	1	1	1	0	1	0	2	0	0	2	0	1	0	0	0	1	1	0	0	1	4	4	4	3	2	2	2	2	0	0	0	0	0	0	0	0	0	3	5	1	3	1	3	3	3	3	2	4	5	1	3	3	2	3	3	3	1	4	2	1	1	3	2	3	1	2	3	1	3	2	1	4	1	0	2	1	1	0	3	3	2	1	0	0	1	0	0	2	4	2	2	23	17	83	15	19	49	3
297	5	6	6	0	2	0	0	5	0	0	1	2	2	0	4	1	3	2	1	5	2	0	0	0	1	2	7	4	3	3	3	4	2	2	1	0	1	0	0	0	0	0	0	0	1	0	2	2	4	5	4	1	4	3	1	5	3	2	5	1	2	4	3	1	3	1	1	4	1	1	5	1	5	2	1	1	1	1	3	1	3	0	1	0	1	1	2	0	4	4	3	4	1	0	1	2	0	4	2	2	2	16	19	82	13	25	44	5
298	5	5	5	1	0	0	4	4	0	0	0	1	2	0	1	0	2	0	1	3	0	1	0	0	0	1	1	0	1	1	2	1	0	0	0	2	1	0	0	1	0	0	0	0	0	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	4	1	1	2	1	1	1	1	1	1	3	1	5	1	1	1	1	1	1	1	2	2	1	0	2	0	4	0	2	0	4	2	0	0	2	0	0	3	2	2	2	11	22	45	7	11	27	3
299	2	1	1	1	4	4	2	2	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	0	4	1	4	0	3	1	4	0	0	0	4	0	0	4	2	2	2	7	33	33	7	6	20	1
300	1	5	5	2	0	0	0	2	0	1	1	1	2	2	2	0	0	1	1	1	2	1	1	0	0	2	4	0	2	1	3	4	2	3	2	3	1	0	0	0	0	0	0	0	0	2	2	4	5	2	4	3	5	3	2	3	5	4	4	3	3	4	2	1	3	4	4	3	1	5	4	4	4	2	2	2	4	3	4	4	2	1	2	0	2	1	2	0	2	0	1	4	2	0	2	3	1	1	5	2	2	22	15	110	18	24	68	7
301	3	5	2	4	0	2	2	3	0	0	1	0	1	0	1	0	0	0	4	1	0	6	0	3	0	0	0	0	6	1	1	3	1	0	3	4	1	1	1	4	3	0	1	0	0	4	4	3	4	1	5	2	4	4	3	1	5	1	4	1	1	5	1	1	1	3	1	4	1	1	4	1	1	2	1	3	3	1	1	2	3	4	2	0	4	2	4	0	2	0	0	0	0	0	4	3	2	4	2	2	2	31	27	76	8	24	44	2
302	4	5	5	4	2	1	1	2	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	4	1	1	2	1	1	5	1	2	1	4	2	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	3	4	2	0	3	2	2	0	3	2	3	0	0	0	2	1	2	3	2	2	2	2	25	53	8	16	29	2
303	1	2	2	1	4	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	2	2	2	1	2	2	2	3	1	1	1	1	1	1	1	1	2	2	3	1	4	1	2	3	1	1	1	1	2	1	5	4	1	1	1	3	1	2	1	1	4	1	1	2	2	3	4	5	1	1	4	4	2	0	2	2	4	0	4	2	2	1	0	0	3	1	0	4	2	2	2	26	29	67	13	14	40	2
304	5	6	5	0	0	0	0	0	1	1	1	2	2	0	1	0	4	0	0	1	0	0	0	0	0	0	5	0	0	0	0	2	0	2	3	0	NA	1	0	0	0	1	0	0	0	1	2	2	4	3	5	2	2	2	1	2	4	2	2	2	2	2	2	1	2	3	2	4	3	2	2	2	2	4	2	2	2	2	1	1	2	4	1	0	2	2	2	0	2	1	2	1	0	0	2	2	NA	3	2	2	2	12	20	76	18	19	39	7
305	2	5	2	2	2	1	1	2	0	1	1	2	2	0	3	1	2	0	1	2	1	2	3	1	0	2	1	0	1	1	2	1	1	1	3	2	3	1	0	1	1	1	1	1	2	1	1	4	4	2	4	4	4	2	4	2	5	2	4	2	2	2	4	2	4	2	2	2	2	2	2	2	5	4	2	4	2	2	4	2	3	4	2	0	4	2	4	0	2	1	1	1	0	0	1	1	0	3	5	2	2	23	24	96	16	22	58	6
306	2	6	5	4	3	1	0	2	0	0	1	2	1	1	4	2	4	1	1	3	4	1	0	0	0	1	3	1	1	3	1	4	2	2	1	3	1	2	1	3	0	3	3	2	1	1	4	2	4	3	4	4	2	4	2	2	5	4	4	1	2	2	3	1	2	3	2	4	3	4	5	1	5	4	4	2	2	3	1	1	2	3	1	0	2	2	2	0	1	3	3	4	3	0	2	2	0	4	2	2	2	34	20	95	22	24	49	5
307	1	4	4	0	0	0	0	3	0	0	1	3	1	1	4	0	2	1	1	2	1	1	1	1	1	3	5	2	1	1	4	4	4	3	4	4	3	0	1	0	1	0	0	1	2	3	2	3	4	2	5	4	4	1	5	5	4	5	5	3	1	5	5	3	2	4	5	5	2	5	2	2	5	5	4	2	3	4	5	3	1	1	1	0	2	4	4	0	4	3	2	2	1	1	1	0	2	2	6	2	2	36	18	122	24	29	69	6
308	6	6	6	5	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	1	1	5	3	1	5	2	4	1	1	5	1	1	1	1	3	4	1	2	3	1	2	5	1	3	2	2	NA	1	1	4	4	4	4	4	3	0	4	0	4	0	0	0	4	0	2	4	3	3	2	0	32	71	13	21	37	2
309	1	4	5	3	1	0	5	0	1	0	1	0	1	0	3	1	0	0	1	0	1	1	0	0	0	1	3	0	0	2	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	4	1	3	1	1	1	2	1	4	1	1	4	1	1	2	2	1	2	2	3	1	2	4	1	1	2	4	3	2	1	3	4	2	0	1	2	4	0	4	1	2	0	0	0	2	0	0	3	3	2	2	7	25	67	12	20	35	3
310	3	5	4	2	5	2	2	0	0	0	2	0	1	0	2	0	0	1	1	2	0	1	0	1	1	1	1	2	0	2	1	2	1	1	3	2	1	2	0	1	0	0	0	0	0	0	3	4	1	1	3	1	3	1	2	3	4	1	1	1	3	2	1	1	3	2	1	2	1	5	1	5	4	2	1	2	1	1	1	1	2	4	3	0	4	2	4	0	4	0	4	2	1	0	2	1	2	4	2	2	2	17	31	66	12	16	38	3
311	2	4	4	1	0	0	0	1	0	0	2	1	0	0	1	0	1	NA	2	3	2	1	1	1	1	1	2	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	3	2	3	3	2	1	1	2	3	4	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	4	2	0	1	3	4	0	4	4	0	0	0	0	2	0	4	4	NA	2	2	9	23	54	9	11	34	3
312	4	5	5	4	1	3	3	5	0	1	1	1	2	1	2	1	3	1	1	2	2	1	2	0	1	1	3	2	1	3	2	3	2	2	3	3	3	1	1	2	1	1	1	1	1	2	2	3	4	4	4	3	3	4	3	4	4	1	5	22	2	3	2	2	2	3	2	5	4	4	5	2	2	3	2	1	2	2	2	3	2	2	3	0	3	4	3	0	1	2	3	3	2	1	2	1	1	3	2	2	2	31	22	117	18	23	76	6
313	6	2	4	4	5	1	1	6	1	0	1	1	2	0	1	0	0	1	1	1	2	1	0	1	1	1	1	1	2	1	2	2	1	1	2	2	2	3	0	0	0	0	0	0	0	0	0	2	2	1	5	2	1	3	2	3	5	2	1	1	1	1	1	1	1	3	1	4	1	3	1	1	4	5	1	2	2	1	2	1	4	4	2	1	4	2	2	1	4	0	4	1	1	0	4	4	1	4	1	2	2	15	32	67	12	20	35	5
314	5	1	1	4	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	2	1	3	0	0	0	0	0	0	0	1	1	1	1	1	4	1	1	1	1	1	1	3	3	1	1	1	1	1	14	1	1	4	1	2	4	1	1	2	1	1	1	2	3	1	3	3	2	0	2	1	1	0	3	3	3	2	1	0	1	0	0	2	2	2	2	16	20	64	11	14	39	0
315	6	6	6	6	4	5	4	6	0	0	1	2	2	1	1	0	1	1	0	2	1	1	1	1	1	0	1	1	2	1	2	1	1	2	3	2	3	3	0	0	0	1	1	1	0	2	3	3	4	2	4	2	1	5	2	2	4	NA	4	1	4	2	3	1	1	3	2	4	1	3	3	2	4	1	1	2	1	1	3	1	3	4	3	0	4	2	4	0	3	0	3	2	2	0	3	1	2	3	3	2	2	25	30	77	8	22	47	6
316	4	0	2	5	6	5	4	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	5	1	1	5	1	1	1	1	5	1	5	1	1	1	4	1	1	1	1	3	4	2	0	3	0	2	0	0	0	3	0	0	0	0	0	0	4	1	2	2	0	21	54	11	10	33	1
317	1	1	5	4	3	2	1	6	0	0	1	2	2	1	3	1	3	3	3	3	1	1	3	1	3	3	3	3	3	3	4	4	4	4	4	3	4	2	1	1	2	3	1	2	3	4	4	5	5	4	3	3	5	5	5	5	4	5	5	1	3	2	3	2	2	5	4	5	4	2	4	2	5	1	3	3	5	3	5	5	3	3	1	0	1	2	2	0	2	3	2	1	0	0	1	1	1	3	6	2	2	50	18	123	22	24	77	6
318	6	6	5	4	2	3	4	6	0	0	2	1	0	0	3	0	0	1	1	0	1	1	0	0	1	0	2	1	4	2	1	2	0	1	0	0	0	2	0	1	0	0	0	0	0	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	5	1	1	1	1	2	1	1	4	1	2	1	1	1	1	1	1	1	1	3	4	2	0	3	1	4	0	3	1	3	1	0	0	2	0	2	3	4	3	2	10	27	44	8	11	25	3
319	3	6	6	5	2	0	0	6	0	0	0	1	0	2	5	0	1	3	4	1	6	2	0	1	0	3	4	NA	1	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	3	1	4	2	1	1	1	4	3	1	1	1	4	3	1	1	1	3	1	1	1	3	1	1	1	2	1	1	1	1	2	1	2	4	2	0	3	0	4	0	4	4	0	1	0	0	2	1	0	4	4	2	3	8	25	58	8	13	37	3
320	0	2	2	2	4	1	1	4	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	4	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	5	1	5	1	1	1	5	1	1	4	4	4	0	4	1	4	0	1	0	4	0	0	0	2	0	0	4	2	3	3	8	31	55	19	6	30	1
321	4	5	4	4	1	0	1	6	0	0	0	1	1	1	7	7	6	2	2	3	1	3	0	0	0	0	7	0	5	5	2	3	3	3	0	2	2	1	0	0	0	0	0	0	0	0	4	1	5	1	5	1	1	3	1	2	5	5	1	1	1	5	1	1	1	5	4	5	1	1	1	1	5	3	3	3	5	1	1	1	2	1	2	0	2	2	2	0	1	0	4	2	2	0	2	2	1	2	3	4	4	20	18	81	15	26	40	3
322	3	4	5	5	2	0	0	5	0	0	0	1	2	0	2	0	1	0	0	2	3	0	1	1	0	2	2	0	1	2	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	3	2	4	2	2	4	1	1	4	2	2	1	1	1	2	1	1	4	2	5	2	4	2	2	1	2	1	2	1	2	3	1	0	3	2	0	3	2	3	0	2	3	4	1	1	0	2	4	3	2	NA	2	2	7	21	69	13	17	39	3
323	4	2	2	1	3	0	1	4	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	3	2	2	2	3	3	3	2	0	0	0	0	0	1	1	0	0	1	3	1	5	1	1	3	4	1	5	1	4	1	1	1	1	1	1	2	1	3	1	4	4	1	4	4	1	1	1	1	1	2	3	1	1	0	3	2	1	0	3	4	2	2	1	0	3	3	NA	1	2	4	4	22	18	67	10	22	35	2
324	5	5	5	4	6	4	2	5	0	0	1	1	2	2	1	1	1	0	2	3	0	1	0	0	2	1	1	1	1	2	2	2	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	2	1	3	1	1	3	3	1	1	1	1	1	1	2	5	1	1	5	1	1	1	1	5	1	5	1	5	5	5	1	5	1	1	3	2	2	0	3	2	3	1	2	1	3	2	1	0	1	4	3	3	3	4	4	13	22	73	25	10	38	6
325	4	5	3	4	3	1	0	2	0	0	1	1	0	0	5	0	0	0	1	2	0	1	1	0	1	0	1	1	1	0	2	4	3	2	2	2	1	3	0	0	0	0	0	0	1	0	4	2	5	1	5	3	5	2	1	2	5	1	5	1	1	5	1	1	1	5	4	5	2	1	2	1	4	4	1	2	4	1	5	2	3	4	4	0	4	3	4	0	0	0	4	1	0	0	2	3	2	3	3	4	4	24	28	90	11	29	50	2
326	5	5	3	1	6	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	2	0	1	0	1	1	0	0	1	3	1	0	0	4	0	4	0	0	0	0	1	0	0	0	0	0	2	3	4	5	2	4	1	1	1	5	5	4	1	1	2	1	1	1	1	1	2	3	2	1	2	2	5	5	5	3	4	3	1	4	1	4	0	4	0	4	0	1	0	4	3	2	0	0	0	0	4	4	4	4	13	26	84	28	20	36	3
327	5	6	5	5	6	2	2	1	0	0	0	1	1	0	2	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	4	4	4	4	3	3	3	2	0	1	0	1	0	0	0	0	4	4	5	5	5	4	5	3	4	5	5	5	5	4	3	4	4	5	4	4	2	5	5	2	5	4	5	5	2	2	4	2	5	4	2	4	0	0	1	4	1	0	1	2	1	2	1	1	1	1	3	1	6	3	3	33	12	135	28	29	78	2
328	6	6	5	6	0	4	4	5	0	0	0	0	2	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	3	3	2	2	3	3	3	2	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	3	1	1	1	2	2	1	1	1	3	1	1	1	1	2	1	2	1	2	3	3	1	2	1	1	3	1	2	2	2	0	3	1	4	0	3	0	4	3	2	0	2	1	0	4	5	2	2	21	26	50	11	10	29	2
329	4	5	5	5	5	2	2	3	0	0	0	1	2	1	3	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	3	3	3	2	2	2	2	3	0	0	0	1	2	1	0	2	1	1	4	1	5	3	4	3	3	2	4	3	3	1	3	3	2	1	2	3	2	4	1	2	2	1	3	3	2	3	2	2	2	2	3	4	3	0	4	2	4	0	3	0	4	2	1	0	3	1	1	4	5	2	2	27	32	82	13	22	47	4
330	5	5	4	4	4	4	4	4	1	2	3	3	1	0	2	0	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	4	1	1	1	1	1	2	3	1	1	1	1	13	1	1	5	1	1	1	1	1	1	1	2	3	2	1	2	2	1	3	1	1	1	3	3	3	0	3	0	3	0	2	1	3	2	0	0	0	0	0	4	2	2	2	9	24	60	10	22	28	10
331	3	5	5	4	0	0	1	3	0	0	1	2	2	0	1	0	3	0	2	4	4	2	0	0	3	2	4	3	2	3	1	2	0	1	4	1	2	4	0	0	0	1	0	0	0	3	3	1	1	1	1	1	1	4	1	1	1	2	1	1	1	5	1	1	5	1	1	1	1	2	1	2	1	2	2	5	1	2	1	1	1	2	1	0	1	2	1	0	1	2	2	3	1	0	2	0	0	3	3	2	2	22	14	54	12	10	32	5
332	2	2	2	3	5	2	2	2	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	3	4	3	4	5	2	2	2	1	1	5	1	1	1	4	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	4	2	0	4	2	3	0	3	0	4	0	0	0	2	2	0	3	2	2	2	12	26	60	10	16	34	3
333	3	4	4	5	6	3	6	5	0	0	0	1	1	0	1	0	0	1	0	2	0	2	0	0	1	0	0	1	1	0	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	4	4	0	4	1	3	0	3	0	4	1	0	0	4	0	0	4	NA	NA	NA	12	34	37	8	9	20	2
334	4	5	1	5	5	2	2	4	0	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	3	4	3	1	1	3	1	1	0	0	1	2	1	0	0	1	1	2	5	4	5	2	2	2	2	3	4	4	4	2	4	3	1	1	2	1	1	4	1	2	3	1	4	4	2	5	2	2	5	3	3	3	2	0	4	2	4	0	2	1	3	1	0	0	3	2	2	4	4	1	1	23	28	92	18	24	50	1
335	4	5	6	5	0	2	0	3	0	0	1	0	2	0	2	3	1	1	2	0	1	2	0	0	0	0	1	0	1	1	2	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	4	3	1	1	2	1	1	3	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	4	2	0	2	1	3	0	4	0	2	3	3	0	2	2	0	4	3	4	4	17	25	42	9	9	24	3
336	4	5	5	3	4	3	2	3	0	1	1	2	2	0	3	0	1	3	2	4	1	2	1	1	1	1	2	1	1	2	2	2	2	1	3	2	3	2	0	1	0	1	0	1	1	0	1	2	2	1	4	1	2	2	2	1	2	3	3	1	1	2	1	2	1	1	2	1	1	2	1	1	1	4	1	2	3	2	1	1	3	4	4	0	4	1	4	0	4	2	2	1	0	0	2	1	0	3	4	3	3	22	30	57	13	13	31	6
337	2	1	3	1	3	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	3	4	1	1	1	1	5	5	1	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	0	3	1	4	0	4	1	3	0	0	0	1	0	0	4	2	2	2	7	29	49	8	6	35	1
338	2	6	4	4	3	2	1	2	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	4	4	4	4	4	4	4	4	2	2	1	0	3	1	1	3	4	1	4	2	3	4	2	5	3	2	3	4	4	2	2	2	2	2	4	2	2	4	2	3	1	1	2	3	2	3	2	4	4	4	2	1	1	2	2	2	2	1	1	2	3	4	3	1	3	2	2	2	6	2	2	49	17	90	18	18	54	1
339	3	4	4	2	0	2	0	2	0	1	1	2	2	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	2	1	4	1	3	1	1	2	1	1	5	1	4	1	2	4	1	2	2	3	3	2	1	2	3	2	2	2	1	4	5	1	3	2	3	1	3	0	2	2	1	0	4	3	3	4	2	0	2	0	0	4	3	3	3	10	23	73	9	20	44	7
340	4	4	4	2	0	1	1	1	0	0	0	NA	2	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	1	3	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	2	3	4	2	0	2	0	2	0	4	0	0	1	0	0	0	0	0	3	2	3	3	6	20	44	12	6	26	3
341	6	5	6	1	4	0	2	0	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	2	3	3	3	4	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	4	1	1	3	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	4	4	3	0	3	1	2	0	3	2	4	0	0	0	3	0	0	4	3	4	4	27	30	42	8	11	23	2
342	2	4	1	5	6	0	0	3	0	0	1	2	1	0	3	3	0	1	0	1	0	1	0	0	2	1	2	0	2	2	3	2	1	2	4	1	3	1	0	0	0	0	0	0	0	0	1	1	3	3	4	4	2	1	1	4	5	3	2	4	3	4	2	1	3	2	1	5	1	4	3	1	1	5	3	3	3	2	5	3	4	2	3	0	2	3	4	3	2	0	0	2	2	1	2	1	3	1	5	3	3	18	20	92	18	21	53	4
343	5	4	6	1	0	0	1	1	0	0	1	2	3	0	2	0	4	2	2	0	0	2	0	0	0	1	5	0	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	4	1	1	4	1	2	1	4	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	5	2	2	1	3	4	2	0	1	2	3	0	4	1	2	1	0	0	2	0	0	4	2	4	3	5	25	53	8	10	35	6
344	2	6	6	6	5	0	5	0	0	0	1	2	2	3	4	0	0	2	1	3	2	3	0	1	0	0	3	0	0	1	4	4	4	4	2	3	2	NA	0	0	0	0	0	0	2	0	0	4	5	3	5	4	5	5	3	5	5	5	5	5	4	4	5	4	5	3	3	5	2	4	5	1	5	4	2	4	3	4	5	5	1	3	4	0	4	4	2	4	4	4	4	4	3	0	4	2	3	1	4	2	2	25	27	136	21	29	86	8
345	2	5	4	2	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	1	1	0	0	1	1	1	0	1	2	2	2	2	2	2	2	2	0	1	1	2	1	1	1	1	2	2	5	4	5	4	2	4	3	3	4	5	5	5	5	4	3	3	2	4	4	5	4	2	4	3	5	5	1	1	5	2	5	4	4	2	2	0	4	2	4	0	3	0	4	3	0	0	2	2	0	4	2	4	4	26	29	122	24	28	70	1
346	0	1	0	0	3	0	0	2	0	0	0	1	1	0	5	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	2	5	1	4	1	2	1	1	1	3	1	4	1	1	4	1	1	2	1	1	3	1	1	1	1	1	1	1	2	1	1	2	1	1	4	1	0	3	0	3	0	3	4	4	0	0	0	3	0	0	3	2	4	3	8	25	55	7	19	29	2
347	0	4	2	2	3	4	0	1	0	0	1	0	2	1	4	0	4	0	0	2	4	1	0	1	1	1	4	0	2	0	2	1	2	1	4	0	4	4	0	1	0	1	0	1	0	1	3	4	5	4	4	2	4	2	2	1	4	4	4	2	4	2	2	2	4	4	2	5	2	1	4	1	5	2	4	2	4	2	4	4	2	0	3	0	3	3	1	0	1	4	4	4	2	0	3	1	0	1	3	3	3	25	18	102	19	24	59	4
348	1	3	4	3	1	0	0	2	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	2	1	3	2	1	1	0	1	0	0	0	0	0	0	1	2	2	3	3	3	3	2	3	3	1	4	1	5	1	1	2	2	1	1	3	2	3	1	1	1	1	1	1	1	2	1	1	3	1	1	3	1	0	2	1	2	0	2	1	2	1	0	0	2	1	1	3	2	3	3	15	18	64	9	18	37	2
349	6	6	4	3	3	2	2	2	0	0	0	1	1	2	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	3	3	3	1	2	1	1	3	0	0	0	0	1	0	1	0	2	4	4	1	4	4	4	2	2	1	4	2	5	4	4	5	4	1	2	2	4	5	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	3	2	2	0	3	3	3	2	4	2	2	2	1	0	1	1	3	4	4	3	3	21	24	73	5	23	45	4
350	4	6	2	1	0	0	0	2	1	1	2	2	1	1	2	0	0	0	1	1	0	1	1	0	0	1	1	0	0	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	2	1	2	1	4	2	2	1	2	2	1	2	4	1	0	2	0	3	0	4	0	4	0	0	0	1	0	0	3	2	3	3	6	24	49	13	10	26	8
351	3	6	5	4	1	2	1	4	0	2	2	3	3	1	2	2	3	1	1	3	1	1	1	0	1	1	2	1	1	2	4	4	3	3	4	4	3	2	1	1	1	2	1	1	1	3	3	4	5	1	5	5	2	4	4	5	5	2	5	4	4	5	2	5	2	5	2	5	4	2	2	1	2	2	2	2	4	2	4	2	2	2	2	0	3	2	3	0	3	2	4	4	2	0	3	4	4	2	2	3	2	41	24	110	14	27	69	11
352	1	1	2	1	5	0	1	1	0	0	2	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	3	3	1	3	1	3	1	1	1	3	3	1	1	1	3	1	1	3	1	3	1	3	2	1	3	1	3	1	1	5	1	1	1	2	4	2	0	1	4	3	0	3	1	1	1	0	0	2	1	0	3	2	4	4	8	21	62	15	12	35	4
353	3	5	5	4	1	1	2	5	1	2	2	1	1	1	2	1	1	1	1	2	2	1	0	1	1	2	2	1	2	2	1	1	1	1	1	1	1	0	0	1	4	0	0	0	0	3	0	1	2	3	2	2	2	2	1	1	4	1	2	1	2	5	1	1	5	2	3	3	2	4	2	4	2	5	4	4	1	4	3	2	1	2	2	2	2	1	2	0	1	4	2	3	1	1	1	1	1	1	NA	NA	NA	15	14	83	23	18	42	8
354	1	2	1	2	1	1	1	1	1	1	2	2	2	1	3	1	0	0	1	2	1	1	0	0	0	1	0	0	1	2	3	3	3	2	3	2	4	2	0	0	0	1	0	0	0	1	4	4	5	4	4	4	1	5	5	5	5	5	5	3	3	5	5	1	4	4	3	3	3	5	3	2	5	3	1	2	5	3	5	3	1	0	1	0	1	1	1	0	1	NA	1	4	2	0	3	0	3	1	1	4	4	28	10	123	21	27	75	9
355	3	5	4	5	5	3	3	4	0	0	1	1	1	0	3	0	1	1	0	2	1	0	1	0	1	1	1	1	1	0	4	4	4	4	4	4	4	3	2	1	0	0	0	1	1	2	3	3	5	1	4	4	4	2	2	3	4	1	5	2	5	4	2	1	2	3	1	5	1	2	3	1	4	2	3	3	2	2	4	3	2	1	3	0	3	4	2	0	4	0	4	4	2	1	2	3	1	4	5	4	4	41	25	93	11	26	56	3
356	2	5	2	5	0	0	0	3	0	0	0	0	1	0	2	2	2	2	0	2	2	1	1	1	0	1	3	0	3	1	1	3	4	2	2	2	3	0	0	0	0	1	0	0	0	1	2	4	4	2	4	2	5	2	4	1	4	4	4	1	2	1	2	5	4	5	2	5	2	2	1	4	5	1	1	2	2	2	5	2	3	4	2	0	2	1	2	0	4	1	4	2	1	0	2	2	0	3	3	2	2	21	26	96	16	23	57	1
