SURID	NEWS	BEAUTY	MUSIC	FITNESS	RELIGION	SCIENCE	LITERARY	SPORTS	EARLY	MORNING	DAYTIME	PRIME	EVENING	LATE	COMEDY	SOAPS	GENERAL	LEGAL	MEDICAL	MOVIES	VARIETY	NEWSSHOW	KIDS	INFO	ACTION	GAME	MVIDEO	MYSTERY	SPORT	TALK	WEIGHT	THIGHS	BUTTOCKS	HIPS	STOMACH	LEGS	WAIST	TONE	EARS	LIPS	WRISTS	HANDS	FOREHEAD	NECK	CHIN	FEET	BUST	MACS1	MACS2	MACS3	MACS4	MACS5	MACS6	MACS7	MACS8	MACS9	MACS10	MACS11	MACS12	MACS13	MACS14	MACS15	MACS16	MACS17	MACS18	MACS19	MACS20	MACS21	MACS22	MACS23	MACS24	MACS25	MACS26	MACS27	MACS28	MACS29	MACS30	MACS31	MACS32	MACS33	DIET1	DIET2	DIET3	DIET4	DIET5	DIET6	DIET7	DIET8	DIET9	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	ASSESS	AGE	CLASS	ANXIETY	GOODDIET	TOTMAC	APPROVE	CONTROL	RIGID	TOTTV
209	6	2	1	2	4	1	2	2	1	0	1	1	3	0	4	0	0	1	1	2	0	4	3	2	2	1	0	1	0	2	2	4	2	3	3	3	2	3	4	1	0	2	0	0	0	1	2	3	5	2	5	4	4	4	4	2	5	2	5	2	2	4	4	2	4	2	1	4	1	4	4	3	5	4	1	4	1	2	2	4	3	4	2	0	1	3	4	0	2	0	4	0	0	0	2	0	0	2	3	4	4	32	24	105	15	28	62	6
210	4	3	1	2	0	3	4	2	0	0	0	0	1	1	1	2	0	0	0	2	0	2	0	2	0	0	1	0	0	1	4	3	3	4	3	4	4	NA	0	2	1	3	0	0	0	2	3	1	4	5	4	2	2	1	2	5	5	5	4	2	4	2	2	5	NA	4	2	2	4	4	1	4	4	5	2	4	5	4	5	2	0	1	1	0	1	0	4	0	1	0	3	4	3	0	4	2	4	0	6	5	4	36	15	107	29	21	57	2
211	1	6	2	0	0	0	0	1	0	0	0	0	2	2	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	2	1	3	4	2	4	2	0	0	0	0	0	0	0	1	2	2	3	2	3	1	2	1	2	3	4	3	4	1	2	3	2	1	1	3	1	3	2	4	5	2	2	4	1	3	3	1	4	2	2	3	0	0	1	3	2	0	2	2	3	2	1	0	1	1	3	3	4	4	3	22	17	80	15	19	46	4
212	0	1	6	3	0	0	0	4	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	2	1	0	1	2	3	1	0	4	0	2	1	0	0	0	0	0	0	0	0	2	1	2	1	3	1	3	1	1	2	3	1	4	1	2	3	1	1	2	1	1	3	1	1	4	1	1	2	2	2	1	2	1	1	2	1	1	0	2	3	1	0	0	1	4	3	1	0	4	1	0	2	4	3	3	15	17	57	10	17	30	1
213	6	4	1	1	4	0	0	0	0	0	0	2	0	0	4	0	1	0	1	5	0	2	2	0	0	1	1	0	0	2	3	3	3	3	4	3	4	3	0	2	0	2	2	0	0	2	3	3	4	3	4	1	1	1	1	4	2	4	5	1	3	4	1	1	1	5	1	5	1	3	1	1	2	5	1	3	4	1	4	3	3	3	1	0	2	3	1	0	3	4	4	3	2	0	2	1	2	2	3	3	3	37	21	84	16	22	46	2
214	2	1	3	1	4	4	4	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	2	1	0	0	1	0	1	0	0	0	1	0	0	0	1	2	1	1	1	4	1	4	1	2	1	4	2	2	1	1	1	1	1	1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	3	4	4	0	4	1	4	0	4	0	3	0	0	0	3	0	0	4	4	2	2	10	33	49	11	14	24	2
215	5	4	2	1	3	0	1	6	0	0	1	0	1	0	7	0	0	0	0	3	1	1	0	0	0	1	1	0	0	0	2	1	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	2	5	3	5	1	1	1	1	2	5	4	5	2	2	3	2	2	2	4	2	4	2	2	2	2	2	2	2	2	2	4	3	2	4	3	1	0	1	2	4	0	2	1	3	2	1	0	1	1	1	3	3	4	3	10	22	85	19	24	42	2
216	0	3	3	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	1	1	1	3	2	3	2	0	0	0	1	3	1	2	3	3	2	1	1	1	1	3	1	2	1	2	3	2	1	1	1	1	1	2	4	2	3	2	2	2	2	2	2	3	2	2	2	1	2	2	4	1	0	1	1	2	0	3	2	NA	3	0	0	2	0	2	4	NA	3	3	28	19	60	15	11	34	2
217	4	4	3	2	4	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	4	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1	1	4	4	1	0	2	0	4	0	4	0	4	1	0	0	2	0	0	2	1	4	4	8	27	44	15	6	23	1
218	1	6	6	3	4	0	1	1	0	0	0	1	1	0	2	0	1	1	0	2	0	0	0	0	0	0	7	0	0	2	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	4	4	1	2	1	1	1	2	3	1	5	1	1	1	1	1	4	1	1	2	1	1	1	1	5	1	4	1	4	5	5	1	1	1	1	3	4	3	0	4	NA	4	0	4	0	4	0	0	0	2	2	0	2	2	2	2	16	30	63	17	9	37	2
